,0
0,https://www.charitychoice.co.uk/test1234
1,https://www.charitychoice.co.uk/british-skin-foundation-4493
2,https://www.charitychoice.co.uk/medical-research-foundation
3,https://www.charitychoice.co.uk/abf-the-soldiers-charity
4,https://www.charitychoice.co.uk/seafarers-uk
5,https://www.charitychoice.co.uk/the-kennel-club-charitable-trust-1142
6,https://www.charitychoice.co.uk/royal-college-of-surgeons-of-england-advancing-surgical-stan
7,https://www.charitychoice.co.uk/st-patricks-missionary-society-kiltegan-fathers-9182
8,https://www.charitychoice.co.uk/bruk
9,https://www.charitychoice.co.uk/marie-curie-cancer-care-4219
10,https://www.charitychoice.co.uk/teenagecancertrust
11,https://www.charitychoice.co.uk/christianaid
12,https://www.charitychoice.co.uk/apf
13,https://www.charitychoice.co.uk/national-society-prevention-cruelty-children-nspcc-1959
14,https://www.charitychoice.co.uk/christinanoblechildrensfoundationuk
15,https://www.charitychoice.co.uk/world-villages-for-children-10305
16,https://www.charitychoice.co.uk/rcvs-knowledge-1188
17,https://www.charitychoice.co.uk/leonard-cheshire-disability
18,https://www.charitychoice.co.uk/save-the-children
19,https://www.charitychoice.co.uk/independent-age-978
20,https://www.charitychoice.co.uk/the-prostate-cancer-charity-4614
21,https://www.charitychoice.co.uk/church-homeless-trust
22,https://www.charitychoice.co.uk/the-combined-theatrical-charities-appeals-council-10122
23,https://www.charitychoice.co.uk/sheppard-trust-housing-elderly-ladies-990
24,https://www.charitychoice.co.uk/royalparksfoundation
25,https://www.charitychoice.co.uk/orbis-uk-1517
26,https://www.charitychoice.co.uk/the-stroke-association
27,https://www.charitychoice.co.uk/orchidcancerappeal
28,https://www.charitychoice.co.uk/missio-spa
29,https://www.charitychoice.co.uk/independent-age-978
30,https://www.charitychoice.co.uk/st-patricks-missionary-society-kiltegan-fathers-9182
31,https://www.charitychoice.co.uk/starandgarter
32,https://www.charitychoice.co.uk/wildlife-aid-foundation-1247
33,https://www.charitychoice.co.uk/bruk
34,https://www.charitychoice.co.uk/teenagecancertrust
35,https://www.charitychoice.co.uk/the-kennel-club-charitable-trust-1142
36,https://www.charitychoice.co.uk/royal-national-institute-of-blind-people-rnib-1533
37,https://www.charitychoice.co.uk/british-skin-foundation-4493
38,https://www.charitychoice.co.uk/the-institute-of-cancer-research
39,https://www.charitychoice.co.uk/jewish-learning-exchange-3880
40,https://www.charitychoice.co.uk/wildlife-aid-foundation-1247
41,https://www.charitychoice.co.uk/ycat
42,https://www.charitychoice.co.uk/jos-cervical-cancer-trust-14745
43,https://www.charitychoice.co.uk/bruk
44,https://www.charitychoice.co.uk/sheppard-trust-housing-elderly-ladies-990
45,https://www.charitychoice.co.uk/dogs-trust-1165
46,https://www.charitychoice.co.uk/independent-age-978
47,https://www.charitychoice.co.uk/st-patricks-missionary-society-kiltegan-fathers-9182
48,https://www.charitychoice.co.uk/orbis-uk-1517
49,https://www.charitychoice.co.uk/salvation-army
50,https://www.charitychoice.co.uk/missio-5463
51,https://www.charitychoice.co.uk/green-tara-trust-16200
52,https://www.charitychoice.co.uk/haig-homes-housing-for-the-ex-service-community-1314
53,https://www.charitychoice.co.uk/paintings-in-hospitals-4418
54,https://www.charitychoice.co.uk/british-museum-213601
55,https://www.charitychoice.co.uk/mentalhealth
56,https://www.charitychoice.co.uk/london-institute-contemporary-christianity-5763
57,https://www.charitychoice.co.uk/vetlife
58,https://www.charitychoice.co.uk/the-athlone-trust-10559
59,https://www.charitychoice.co.uk/littlesistersofthepoor
60,https://www.charitychoice.co.uk/nazarethcareuk
61,https://www.charitychoice.co.uk/vetlife
62,https://www.charitychoice.co.uk/the-athlone-trust-10559
63,https://www.charitychoice.co.uk/british-museum-213601
64,https://www.charitychoice.co.uk/stmungos
65,https://www.charitychoice.co.uk/londonsairambulancecharity
66,https://www.charitychoice.co.uk/stlukes4clergy
67,https://www.charitychoice.co.uk/london-institute-contemporary-christianity-5763
68,https://www.charitychoice.co.uk/lifeline-4-kids-handicapped-childrens-aid-committee-1871
69,https://www.charitychoice.co.uk/migrant-voice-179940
70,https://www.charitychoice.co.uk/welcare
71,https://www.charitychoice.co.uk/bag-books
72,https://www.charitychoice.co.uk/olspn
73,https://www.charitychoice.co.uk/mentalhealth
74,https://www.charitychoice.co.uk/petplan-charitable-trust-13129
75,https://www.charitychoice.co.uk/metropolitan-police-benevolent-fund
